Customer ID,Gender,Age,Location,EstimatedIncome,Purchased
CID00311,Male,27,Semi Arban,88000,1
CID00312,Male,28,Semi Arban,59000,0
CID00313,Female,32,Semi Arban,86000,1
CID00314,Female,33,Arban,149000,1
CID00315,Female,19,Arban,21000,0
CID00316,Male,21,Arban,72000,1
CID00317,Female,26,Arban,35000,0
CID00318,Male,27,Arban,89000,1
CID00319,Male,26,Arban,86000,1
CID00320,Female,38,Arban,80000,1
CID00321,Female,39,Arban,71000,1
CID00322,Female,37,Arban,71000,1
CID00323,Male,38,Arban,61000,1
CID00324,Male,37,Arban,55000,1
CID00325,Male,42,Arban,80000,1
CID00326,Male,40,Arban,57000,1
CID00327,Male,35,Arban,75000,1
CID00328,Male,36,Arban,52000,1
CID00329,Male,40,Arban,59000,1
CID00330,Male,41,Arban,59000,0
CID00331,Female,36,Arban,75000,0
CID00332,Male,37,,72000,1
CID00333,Female,40,,75000,0
CID00334,Male,35,Arban,53000,1
CID00335,Female,41,Arban,51000,0
CID00336,Female,39,Arban,61000,0
CID00337,Male,42,Arban,65000,0
CID00338,Male,26,Semi Arban,32000,0
CID00339,Male,30,Rural,17000,0
CID00340,Female,26,Arban,84000,1
CID00341,Male,31,Arban,58000,1
CID00342,Male,33,Rural,31000,1
CID00343,Male,30,Arban,87000,1
CID00344,Female,21,Semi Arban,68000,1
CID00345,Female,28,Semi Arban,55000,1
CID00346,Male,23,Semi Arban,63000,1
CID00347,Female,20,Arban,82000,0
CID00348,Male,30,Arban,107000,1
CID00349,Female,28,Arban,59000,0
CID00350,Male,19,Rural,25000,0
CID00351,Male,19,Arban,85000,0
CID00352,Female,18,Arban,68000,0
CID00353,Male,35,Arban,59000,1
CID00354,Male,30,Arban,89000,0
CID00355,Female,34,Rural,25000,0
CID00356,Female,24,Arban,89000,0
CID00357,Female,27,Arban,96000,1
CID00358,Female,41,Semi Arban,30000,0
CID00359,Male,29,Semi Arban,61000,0
CID00360,Male,20,Semi Arban,74000,0
CID00361,Female,26,Rural,15000,0
CID00362,Male,41,Semi Arban,45000,0
CID00363,Male,31,Arban,76000,1
CID00364,Female,36,Semi Arban,50000,0
CID00365,Male,40,Semi Arban,47000,0
CID00366,Female,31,Semi Arban,15000,0
CID00367,Male,46,Semi Arban,59000,1
CID00368,Male,29,Semi Arban,75000,1
CID00369,Male,26,Semi Arban,30000,0
CID00370,Female,32,Arban,135000,1
CID00371,Male,32,Arban,100000,1
CID00372,Male,25,Arban,90000,0
CID00373,Female,37,Rural,33000,0
CID00374,Male,35,Rural,38000,1
CID00375,Female,33,Semi Arban,69000,1
CID00376,Female,18,Arban,86000,0
CID00377,Female,22,Arban,55000,0
CID00378,Female,35,Arban,71000,1
CID00379,Male,29,Arban,148000,1
CID00380,Female,29,Semi Arban,47000,0
CID00381,Male,21,Arban,88000,1
CID00382,Male,34,Arban,115000,1
CID00383,Female,26,Arban,118000,1
CID00384,Female,34,Rural,43000,0
CID00385,Female,34,Semi Arban,72000,0
CID00386,Female,23,Rural,28000,0
CID00387,Female,35,Semi Arban,47000,0
CID00388,Male,25,Semi Arban,22000,1
CID00389,Male,24,Semi Arban,23000,1
CID00390,Female,31,Rural,34000,0
CID00391,Male,26,Rural,16000,0
CID00392,Female,31,Semi Arban,71000,0
CID00393,Female,32,Arban,117000,1
CID00394,Male,33,Semi Arban,43000,1
CID00395,Female,33,Semi Arban,60000,0
CID00396,Male,31,Semi Arban,66000,1
CID00397,Female,20,Arban,82000,0
CID00398,Female,33,Rural,41000,0
CID00399,Male,35,Rural,72000,1
CID00400,Male,28,Rural,32000,1
CID00401,Male,24,Arban,84000,1
CID00402,Female,19,Rural,26000,0
CID00403,Male,29,Semi Arban,43000,0
CID00404,Male,19,Arban,70000,0
CID00405,Male,28,Arban,89000,1
CID00406,Male,34,Arban,43000,1
CID00407,Female,30,Arban,79000,0
CID00408,Female,20,Semi Arban,36000,0
CID00409,Male,26,Arban,80000,1
CID00410,Male,35,Rural,22000,1
CID00411,Male,35,,39000,1
CID00412,Male,49,,74000,0
CID00413,Female,39,,134000,1
CID00414,Female,41,Arban,71000,0
CID00415,Female,58,Arban,101000,1
CID00416,Female,47,Semi Arban,47000,0
CID00417,Female,55,Arban,130000,1
CID00418,Female,52,Arban,114000,0
CID00419,Female,40,Arban,142000,1
CID00420,Female,46,Rural,22000,0
CID00421,Female,48,Arban,96000,1
CID00422,Male,52,Arban,150000,1
CID00423,Female,59,Semi Arban,42000,0
CID00424,Male,35,Semi Arban,58000,1
CID00425,Male,47,Semi Arban,43000,0
CID00426,Female,60,Semi Arban,108000,0
CID00427,Male,49,Semi Arban,65000,0
CID00428,Male,40,Semi Arban,78000,0
CID00429,Female,46,Arban,96000,0
CID00430,Male,59,Arban,143000,0
CID00431,Female,41,Arban,80000,0
CID00432,Male,35,Arban,91000,1
CID00433,Male,37,Arban,144000,1
CID00434,Male,60,Arban,102000,0
CID00435,Female,35,Semi Arban,60000,1
CID00436,Male,37,Semi Arban,53000,1
CID00437,Female,36,Semi Arban,126000,1
CID00438,Male,56,Semi Arban,133000,1
CID00439,Female,40,Semi Arban,72000,0
CID00440,Female,42,Arban,80000,1
CID00441,Female,35,Arban,147000,1
CID00442,Male,39,Arban,42000,1
CID00443,Male,40,Arban,107000,1
CID00444,Male,49,Rural,86000,1
CID00445,Female,38,Arban,112000,1
CID00446,Male,46,Rural,79000,1
CID00447,Male,40,Rural,57000,1
CID00448,Female,37,Rural,80000,1
CID00449,Female,46,Semi Arban,82000,1
CID00450,Female,53,Arban,143000,1
CID00451,Male,42,Arban,149000,1
CID00452,Male,38,Semi Arban,59000,1
CID00453,Female,50,Semi Arban,88000,1
CID00454,Female,56,Arban,104000,0
CID00455,Female,41,Arban,72000,0
CID00456,Female,51,Arban,146000,1
CID00457,Female,35,Semi Arban,50000,0
CID00458,Female,57,Arban,122000,1
CID00459,Male,41,Rural,52000,1
CID00460,Female,35,Semi Arban,97000,1
CID00461,Female,44,Rural,39000,0
CID00462,Male,37,Arban,52000,1
CID00463,Female,48,Arban,134000,1
CID00464,Female,37,Arban,146000,1
CID00465,Female,50,Rural,44000,0
CID00466,Female,52,Arban,90000,1
CID00467,Female,41,Rural,72000,0
CID00468,Male,40,Rural,57000,1
CID00469,Female,58,Rural,95000,0
CID00470,Female,45,Arban,131000,1
CID00471,Female,35,Arban,77000,1
CID00472,Male,36,Arban,144000,1
CID00473,Female,55,Rural,125000,0
CID00474,Female,35,Rural,72000,0
CID00475,Male,48,Rural,90000,1
CID00476,Female,42,Semi Arban,108000,1
CID00477,Male,40,Rural,75000,1
CID00478,Male,37,Rural,74000,1
CID00479,Female,47,Arban,144000,1
CID00480,Male,40,Semi Arban,61000,0
CID00481,Female,43,Rural,133000,0
CID00482,Female,59,Semi Arban,76000,0
CID00483,Male,60,Arban,42000,0
CID00484,Male,39,Arban,106000,1
CID00485,Female,57,Arban,26000,0
CID00486,Male,57,Rural,74000,1
CID00487,Male,38,Rural,71000,1
CID00488,Male,49,Rural,88000,1
CID00489,Female,52,Arban,38000,0
CID00490,Female,50,Semi Arban,36000,0
CID00491,Female,59,Arban,88000,0
CID00492,Male,35,Arban,61000,1
CID00493,Male,37,Semi Arban,70000,1
CID00494,Female,52,Rural,21000,0
CID00495,Male,48,Arban,141000,0
CID00496,Female,37,Arban,93000,1
CID00497,Female,37,Semi Arban,62000,0
CID00498,Female,48,Arban,138000,1
CID00499,Male,41,Semi Arban,79000,1
CID00500,Female,37,Semi Arban,78000,1
CID00501,Male,39,Arban,134000,1
CID00502,Male,49,Arban,89000,1
CID00503,Male,55,Semi Arban,39000,1
CID00504,Male,37,Semi Arban,77000,1
CID00505,Female,35,Semi Arban,57000,0
CID00506,Female,36,Semi Arban,63000,0
CID00507,Male,42,Semi Arban,73000,1
CID00508,Female,43,Arban,112000,1
CID00509,Male,45,Arban,79000,0
CID00510,Male,46,Arban,117000,1
CID00511,Female,58,Arban,38000,0
CID00512,Male,48,Arban,74000,1
CID00513,Female,37,Arban,137000,1
CID00514,Male,37,Arban,79000,1
CID00515,Female,40,Rural,60000,0
CID00516,Male,42,Rural,54000,1
CID00517,Female,51,Arban,134000,0
CID00518,Female,47,Arban,113000,1
CID00519,Male,36,Arban,125000,1
CID00520,Female,38,Arban,50000,0
CID00521,Female,42,Arban,70000,0
CID00522,Male,39,Arban,96000,1
CID00523,Female,38,Semi Arban,50000,0
CID00524,Female,49,Arban,141000,1
CID00525,Female,39,Semi Arban,79000,0
CID00526,Female,39,Arban,75000,1
CID00527,Female,54,Arban,104000,1
CID00528,Male,35,Semi Arban,55000,1
CID00529,Male,45,Semi Arban,32000,1
CID00530,Male,36,Semi Arban,60000,1
CID00531,Female,52,Arban,138000,1
CID00532,Female,53,Arban,82000,0
CID00533,Male,41,Arban,52000,0
CID00534,Female,48,Arban,30000,0
CID00535,Female,48,Arban,131000,1
CID00536,Female,41,Rural,60000,0
CID00537,Male,41,Rural,72000,1
CID00538,Female,42,Rural,75000,0
CID00539,Male,36,Arban,118000,1
CID00540,Female,47,Arban,107000,1
CID00541,Male,38,Semi Arban,51000,1
CID00542,Female,48,Semi Arban,119000,1
CID00543,Male,42,Semi Arban,65000,1
CID00544,Male,40,Semi Arban,65000,1
CID00545,Male,57,Semi Arban,60000,1
CID00546,Female,36,Semi Arban,54000,0
CID00547,Male,58,Semi Arban,144000,1
CID00548,Male,35,Semi Arban,79000,1
CID00549,Female,38,Semi Arban,55000,0
CID00550,Male,39,Arban,122000,1
CID00551,Female,53,Arban,104000,0
CID00552,Male,35,Arban,75000,1
CID00553,Female,38,Arban,65000,0
CID00554,Female,47,Semi Arban,51000,0
CID00555,Male,47,Arban,105000,1
CID00556,Female,41,Arban,63000,0
CID00557,Male,53,Arban,72000,1
CID00558,Female,54,Arban,108000,1
CID00559,Male,39,Arban,77000,1
CID00560,Male,38,Semi Arban,61000,1
CID00561,Female,38,Arban,113000,1
CID00562,Male,37,Arban,75000,1
CID00563,Female,42,Arban,90000,1
CID00564,Female,37,Semi Arban,57000,1
CID00565,Male,36,Arban,99000,1
CID00566,Male,60,Rural,34000,0
CID00567,Male,54,Arban,70000,1
CID00568,Female,41,Arban,72000,0
CID00569,Male,40,Arban,71000,1
CID00570,Male,42,Semi Arban,54000,0
CID00571,Male,43,Arban,129000,1
CID00572,Female,53,Arban,34000,0
CID00573,Female,47,Semi Arban,50000,1
CID00574,Female,42,Arban,79000,0
CID00575,Male,42,Arban,104000,1
CID00576,Female,59,Rural,29000,0
CID00577,Female,58,Rural,47000,0
CID00578,Male,46,Arban,88000,1
CID00579,Male,38,Arban,71000,1
CID00580,Female,54,Rural,26000,0
CID00581,Female,60,Semi Arban,46000,0
CID00582,Male,60,Arban,83000,1
CID00583,Female,39,Arban,73000,1
CID00584,Male,59,Arban,130000,1
CID00585,Female,37,Arban,80000,0
CID00586,Female,46,Rural,32000,1
CID00587,Female,46,Semi Arban,74000,0
CID00588,Female,42,Semi Arban,53000,0
CID00589,Male,41,Semi Arban,87000,1
CID00590,Female,58,Rural,23000,0
CID00591,Male,42,Semi Arban,64000,1
CID00592,Male,48,Rural,33000,1
CID00593,Male,47,Rural,23000,1
CID00594,Female,45,Arban,45000,1
CID00595,Male,60,Rural,42000,0
CID00596,Female,39,Rural,59000,1
CID00597,Female,46,Semi Arban,41000,0
CID00598,Male,51,Semi Arban,23000,0
CID00599,Female,50,Rural,20000,0
CID00600,Male,36,Rural,33000,0
CID00601,Male,49,Arban,36000,0
CID00602,Male,59,Rural,29000,0
CID00603,Male,58,Rural,47000,0
CID00604,Male,46,Arban,88000,1
CID00605,Male,38,Arban,71000,1
CID00606,Male,54,Rural,26000,0
CID00607,Male,60,Semi Arban,46000,0
CID00608,Male,60,Arban,83000,1
CID00609,Male,39,Arban,73000,1
CID00610,Male,59,Arban,130000,1
CID00611,Female,37,Arban,80000,1
CID00612,Male,46,Rural,32000,1
CID00613,Male,46,Semi Arban,74000,0
CID00614,Male,42,Semi Arban,53000,1
CID00615,Male,41,Semi Arban,87000,1
CID00616,Male,58,Rural,23000,0
CID00617,Female,42,Semi Arban,64000,1
CID00618,Male,48,Rural,33000,0
CID00619,Male,47,Rural,23000,1
CID00620,Male,45,Arban,45000,1
CID00621,Male,60,Rural,42000,0
CID00622,Male,39,Rural,59000,1
CID00623,Male,46,Semi Arban,41000,0
CID00624,Female,51,Semi Arban,23000,0
CID00625,Male,50,Rural,20000,0
CID00626,Male,36,Rural,33000,1
CID00627,Male,49,Arban,36000,0
